"","fips","year","uranium_avg_excess","arsenic_avg_excess","dehp_avg_excess","nitrates_avg_excess","haa_avg_excess","thm_avg_excess","county","total_med","total_agri_fish_mine","agri_fish_hunt","mining_quarrying_oilgas_extract","construction","manufacturing","wholesale_trade","retail_trade","transport_warehouse_utilities","transport_warehouse","utilities","information","fin_ins_realest","fin_ins","realest_rent_lease","total_prof_sci_mgmt_admin","prof_sci_tech","admin_sup","total_edu_health_social","edu_serv","health_social","total_arts_ent_acc_food","arts_ent_rec","acc_food_serv","other_ser","pub_admin","maxcontam"
"1903","21095","2014",0,0,0,0,0,0.023828125,"Harlan County, Kentucky",-0.0210554886666667,-0.0964208698333333,-0.4908060125,-0.087716297,0.403556521666667,-0.0993117871666667,-0.271460593,0.100229958833333,0.00910618583333333,-0.0100642658333333,0.025765281,1.74324459416667,0.000228735333333335,-0.0711985805,-0.611399223166667,0.0367650605,0.0236066726666667,-0.124220690833333,0.013902687,0.0374258853333333,0.0064149145,0.0883458146666667,-0.475633852166667,0.0717947923333333,0.0260556266666667,-0.242240568,0.2875
"1904","21095","2015",0,0,0,0,0,0.0147058823529412,"Harlan County, Kentucky",-0.00790700366666667,0.0791312051666667,0.5997025025,0.063604709,-0.0645038673333333,0.0126375088333333,0.573795293,-0.0413203311666667,-0.0602139711666667,-0.143867895833333,0.127498204,-0.125881843833333,0.0306185703333333,-0.0369970525,2.14189958983333,-0.1247839375,-0.142832884333333,-0.0644550858333333,-0.0473424,-0.0501675986666667,-0.0484296655,0.0226509356666667,0.591914515833333,0.0493206363333333,0.0654731696666667,0.109996045,0.19375
"1905","21095","2016",0,0,0,0,0,0.00238970588235294,"Harlan County, Kentucky",0.000161917333333332,-0.000114069833333334,-0.1109388755,0.010560211,-0.0364061453333333,-0.246982666166667,-0.41566779,0.00177641783333334,-0.0196146091666667,-0.0112153438333333,-0.081819582,-0.155512188833333,0.00443446733333333,0.0381955595,0.639753876833333,0.1751604545,0.207511119666667,0.0119779851666667,0.008626075,-0.0290818436666667,0.0560974605,-0.116896091333333,-0.466267496166667,-0.126660444666667,0.0372663886666667,-0.039513558,0.025
"1918","21101","2011",0,0,0,0,0,0,"Henderson County, Kentucky",0.0378003591666667,-0.245357637666667,0.0280126966666667,-0.105470416666667,0.172830602,0.0421748773333333,0.0301761406666667,0.0127338258333333,0.0304407661666667,0.085897502,0.0079842245,0.0142327431666667,-0.0656218891666667,0.00538543533333333,-0.310628806166667,0.153393717333333,-0.109807635,-0.0465924106666667,0.000606924999999999,-0.0842507293333333,0.0310567743333333,0.218972759,0.167294303833333,0.235098878,0.112868474,0.130184995666667,0
"1919","21101","2012",0,0,0,0,0,0,"Henderson County, Kentucky",0.00481246616666667,0.0353610823333333,0.0897881076666667,-0.110848891666667,-0.044223034,0.0474662063333333,-0.0220126563333333,0.0467823368333333,0.0245501121666667,-0.084228797,0.0111136635,0.0213436401666667,0.0643696658333333,0.0742004433333333,0.567906552833333,-0.000145261666666667,-0.014240733,0.439457831333333,-0.022509001,-0.0212762873333333,-0.0347149356666667,-0.077300741,-0.0783714521666667,-0.108683371,-0.056532384,-0.0324848173333333,0
"1920","21101","2013",0,0,0,0,0,0,"Henderson County, Kentucky",-0.0101872038333333,-0.0578398756666667,-0.00840959333333333,-0.0699706476666667,-0.034355351,0.00641799233333333,-0.0270867003333333,-0.0516299911666667,-0.0391633208333333,-0.01361354,-0.0349409815,0.00338194216666667,-0.0346707731666667,-0.0335081736666667,-0.114751330166667,-0.0248524546666667,0.01612908,-0.0773438366666667,-0.008716782,0.00820210066666667,-0.0185277696666667,0.013069378,-0.0454874651666667,0.016536004,-0.066290278,-0.0457860553333333,0
"1921","21101","2014",0,0,0,0,0,0,"Henderson County, Kentucky",0.00237233116666667,-0.0572617016666667,-0.0499308903333333,-0.0773060626666667,-0.001413147,-0.0324431876666667,-0.0948428613333333,0.163824717833333,0.0300129351666667,0.062700375,0.0414618035,0.0843365811666667,0.0467472368333333,-0.0249145266666667,0.110385033833333,-0.0228296796666667,0.129507362,-0.121083256666667,0.03191712,0.0153867486666667,0.0425149433333333,-0.004750691,0.602278857833333,-0.045275124,0.213066953,0.0368744596666667,0
"1922","21101","2015",0,0,0,0,0,0,"Henderson County, Kentucky",-0.0271014088333333,-0.0216767326666667,-0.105449593333333,0.451753183333333,0.085505449,-0.0552576836666667,0.0820735196666667,-0.0362415821666667,-0.0736013468333333,-0.062545539,-0.1781295385,-0.130288662833333,-0.00967005816666667,-0.0141934666666667,-0.256776336166667,-0.0212636696666667,-0.0801259,-0.0806558516666667,-0.039866489,-0.0362236153333333,-0.0492865286666667,-0.043474571,-0.351460949166667,-0.009685801,-0.068222645,-0.000426207333333331,0
"1923","21101","2016",0,0,0,0,0,0.01875,"Henderson County, Kentucky",-0.00769654383333333,0.346774865333333,0.0459892726666667,-0.0881571646666667,-0.178344519,-0.00835820466666667,0.0316925576666667,-0.135469307166667,0.0277608541666667,0.011789999,0.1525108285,0.00699375616666667,-0.00115418216666667,-0.00696971166666667,0.00386488583333333,-0.0843026516666667,0.058537826,-0.113782475666667,0.038568227,0.118161782666667,0.0289575163333333,-0.106516134,-0.294253295166667,-0.087990586,-0.13489012,-0.0883623753333333,0.09375
"1936","21107","2011",0,0,0,0,0.0544583333333333,0,"Hopkins County, Kentucky",-0.000261351333333333,0.0347908823333333,0.0354629168333333,0.0629326915,0.076585994,-0.00556585266666666,0.0349446591666667,0.0430028508333333,0.103339085333333,0.125296160833333,-0.0310277005,0.0755060521666667,0.074635129,0.080993372,-0.363894805833333,-0.00948363533333333,-0.148506146833333,-0.270429520666667,-0.0509882166666667,-0.0414581435,-0.0383157581666667,0.0233405461666667,-0.208569104333333,0.0140408001666667,-0.00935463083333333,0.079780462,0.217833333333333
"1937","21107","2012",0,0,0,0,0,0,"Hopkins County, Kentucky",-0.00271016033333333,0.103493633333333,0.203425224833333,0.0200183685,-0.117783042,6.20123333333333e-05,0.0168694731666667,-0.0666317601666667,0.0180752413333333,0.0167179108333333,0.0121449585,-0.740454276833333,-0.015792252,-0.003795128,-0.0845912188333333,-0.0359350483333333,0.0266385421666667,-0.0737074086666667,0.00963415433333334,0.0423582055,-0.000189175166666666,0.176502521166667,-0.286472594333333,0.111259997166667,0.00512074516666667,-0.069684697,0
"1938","21107","2013",0,0,0,0,0.03,0.0431875,"Hopkins County, Kentucky",-0.0167193123333333,-0.0200391886666667,-0.200726179166667,-0.0120593405,0.033509613,-0.0403877266666667,-0.0198683208333333,-0.0316497211666667,0.0191912393333333,0.0307530728333333,-0.0291156085,-0.106037250833333,-0.025241745,-0.023937497,-0.0175709958333333,-0.0322118093333333,0.0167998281666667,-0.00197198866666667,-0.0239470766666667,-0.0075447255,-0.00936788016666667,-0.0622594538333333,-0.249086191333333,-0.0576263728333333,-0.0205142908333333,-0.005500474,0.2875
"1939","21107","2014",0,0,0,0,0,0.0232875,"Hopkins County, Kentucky",0.0293088986666667,-0.0321488476666667,0.0649538208333334,-0.0130668835,0.082941859,0.0944049973333333,-0.0199993438333333,0.0723057428333333,0.0451897753333333,0.0263475398333333,0.2314733385,1.01741866816667,-0.013477806,-0.016137038,0.0441711401666667,0.137145206666667,0.128812494166667,0.160368770333333,0.0470400133333333,0.0820591255,0.00687323183333333,-0.196313925833333,-0.433086191333333,-0.129358958833333,-0.101013093833333,0.019119312,0.2235
"1940","21107","2015",0,0,0,0,0,0.029225,"Hopkins County, Kentucky",-0.00570170433333333,-0.0530930246666667,0.0897737888333333,-0.0465626915,-0.091827452,-0.00654886866666667,-0.0500075508333333,-0.0227320501666667,-0.113701620666667,-0.110116557166667,-0.1433932555,-0.0972615298333333,-0.015063956,-0.009892992,-0.0980123748333333,-0.0527565923333333,-0.0113902408333333,0.0404614893333333,0.0197969473333333,-0.0760190955,0.0449375978333333,0.0615415721666667,-0.898968544333333,0.0771309521666667,0.103115908166667,0.01551503,0.228125
"1941","21107","2016",0,0,0,0,0,0.0379375,"Hopkins County, Kentucky",-0.00391637033333333,-0.0330034546666667,-0.192889572166667,-0.0112621445,0.016573028,-0.0419645616666667,0.0380610831666667,0.00570493783333333,-0.0720937206666667,-0.0889981271666667,-0.0400817325,-0.149171662833333,-0.00505937,-0.027230717,0.519898255166667,-0.00675812133333334,-0.0123544768333333,0.145278658333333,-0.00153582166666667,0.000604633500000002,-0.00393801616666667,-0.00281125983333332,2.07618262566667,-0.0154464178333333,0.0226453621666667,-0.039229633,0.196875
"1954","21113","2011",0,0,0,0,0,0,"Jessamine County, Kentucky",0.0277205908333333,-0.170436114166667,-0.00830918366666667,0.592118250166667,0.322671554666667,0.0477206666666667,-0.0511549976666667,0.0393170085,0.071200027,0.112700380833333,0.0756107213333333,-0.0765289093333333,-0.217675136833333,0.0942048615,-0.3522192355,-0.00158142683333333,-0.042806047,0.0513010413333333,0.0138425453333333,0.026775656,0.00324095533333333,0.0215819365,-0.105136169,0.0962839881666667,0.0811076078333333,0.0560878253333333,0
